customer_id,customer_name,gender,member_type
C0229,Vikram Khan,Female,Normal
C0230,Aarav Singh,Female,Normal
C0231,Isha Das,Female,Normal
C0232,Kabir Patel,Female,Normal
C0233,Arjun Reddy,Female,Normal
C0234,Arjun Patel,Male,Normal
C0235,Arjun Patel,Male,Normal
C0236,Arjun Khan,Male,Normal
C0237,Ananya Gupta,Male,Normal
C0238,Meera Gupta,Male,Normal
C0239,Aarav Patel,Male,Normal
C0240,Vikram Sharma,Female,Normal

